date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:54	24440/24440	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/blog/index.html	C:/Mes%20Sites%20Web/color-blog/seantheme.com/color-admin/frontend/blog/index.html	(from )
15:59:55	30/30	---M--	200	added ('OK')	text/plain	date:Wed,%2028%20May%202014%2018:07:09%20GMT	https://seantheme.com/robots.txt		(from )
15:59:56	24445/24445	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/blog/index_transparent_header.html	C:/Mes%20Sites%20Web/color-blog/seantheme.com/color-admin/frontend/blog/index_transparent_header.html	(from https://seantheme.com/color-admin/frontend/blog/index.html)
15:59:57	24423/24423	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/blog/index_inverse_header.html	C:/Mes%20Sites%20Web/color-blog/seantheme.com/color-admin/frontend/blog/index_inverse_header.html	(from https://seantheme.com/color-admin/frontend/blog/index.html)
15:59:58	21794/21794	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/blog/post_grid.html	C:/Mes%20Sites%20Web/color-blog/seantheme.com/color-admin/frontend/blog/post_grid.html	(from https://seantheme.com/color-admin/frontend/blog/index.html)
15:59:58	23606/23606	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/blog/post_without_sidebar.html	C:/Mes%20Sites%20Web/color-blog/seantheme.com/color-admin/frontend/blog/post_without_sidebar.html	(from https://seantheme.com/color-admin/frontend/blog/index.html)
15:59:58	15115/15115	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/blog/about_me.html	C:/Mes%20Sites%20Web/color-blog/seantheme.com/color-admin/frontend/blog/about_me.html	(from https://seantheme.com/color-admin/frontend/blog/index.html)
15:59:59	16729/16729	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/blog/contact_us.html	C:/Mes%20Sites%20Web/color-blog/seantheme.com/color-admin/frontend/blog/contact_us.html	(from https://seantheme.com/color-admin/frontend/blog/index.html)
15:59:59	441515/441515	---M--	200	added ('OK')	text/css	date:Sun,%2012%20Jan%202020%2003:20:44%20GMT	https://seantheme.com/color-admin/frontend/assets/css/blog/app.min.css	C:/Mes%20Sites%20Web/color-blog/seantheme.com/color-admin/frontend/assets/css/blog/app.min.css	(from https://seantheme.com/color-admin/frontend/blog/index.html)
16:00:00	24423/24423	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/blog/post_detail.html	C:/Mes%20Sites%20Web/color-blog/seantheme.com/color-admin/frontend/blog/post_detail.html	(from https://seantheme.com/color-admin/frontend/blog/index.html)
16:00:04	173396/173396	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Jun%202015%2002:44:49%20GMT	https://seantheme.com/color-admin/frontend/assets/img/post/post-1.jpg	C:/Mes%20Sites%20Web/color-blog/seantheme.com/color-admin/frontend/assets/img/post/post-1.jpg	(from https://seantheme.com/color-admin/frontend/blog/index.html)
